Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Skullclamp,BRC,The Brothers' War Commander,159,normal,uncommon,1,75394,3865d44e-7207-4440-9db4-627531979852,4.57,false,false,near_mint,en,USD
Relic of Progenitus,BRC,The Brothers' War Commander,157,normal,uncommon,1,75451,51ab3b6e-c7f2-48a1-bfa3-e7708b539bd6,4.64,false,false,near_mint,en,USD
Thought Vessel,BRC,The Brothers' War Commander,167,normal,uncommon,1,75750,c1968fb1-4c78-40b7-929c-271569ea0cc9,3.96,false,false,near_mint,en,USD
Preordain,BRC,The Brothers' War Commander,92,normal,common,1,75911,fa6a22a2-2c97-4279-a7c8-4033698ac108,1.53,false,false,near_mint,en,USD
Thought Monitor,BRC,The Brothers' War Commander,98,normal,rare,1,75263,01179c70-a87a-46aa-a95d-3269889e87ff,1.54,false,false,near_mint,en,USD
Sol Ring,BRC,The Brothers' War Commander,160,normal,uncommon,1,75562,772edef7-2f17-4244-b1bb-4e7a53c253e1,2.47,false,false,near_mint,en,USD
"Sai, Master Thopterist",BRC,The Brothers' War Commander,93,normal,rare,1,75617,8d8e0685-ee2f-4b27-a1b3-6e6183bdf229,1.44,false,false,near_mint,en,USD
Swords to Plowshares,BRC,The Brothers' War Commander,75,normal,uncommon,1,75292,0f34ecf6-460c-4451-b26c-a1fced340c92,1.51,false,false,near_mint,en,USD
"Tawnos, Solemn Survivor",BRC,The Brothers' War Commander,3,normal,mythic,1,75743,bdf67de0-f468-4f04-99ab-a442347bb16b,0.4,false,false,near_mint,en,USD
Baleful Strix,BRC,The Brothers' War Commander,120,normal,rare,1,75384,351b47f5-1c85-4e21-9ede-cb13ac96fbc4,2.14,false,false,near_mint,en,USD
Bojuka Bog,BRC,The Brothers' War Commander,176,normal,common,1,75703,ac21a3cc-f3d7-4ac8-9df0-a126738ab54c,1.29,false,false,near_mint,en,USD
Shimmer Dragon,BRC,The Brothers' War Commander,95,normal,rare,1,75643,9532d03d-a4c2-44c4-ae14-3f8e0bce79a5,0.9,false,false,near_mint,en,USD
"Urza, Chief Artificer",BRC,The Brothers' War Commander,2,normal,mythic,1,75869,ea409050-4296-4b76-a6cd-2896ce1b88e4,0.69,false,false,near_mint,en,USD
Ancient Den,BRC,The Brothers' War Commander,172,normal,common,1,75738,bc74f956-3bef-46bc-a180-6b1773ee4ca6,0.97,false,false,near_mint,en,USD
Seat of the Synod,BRC,The Brothers' War Commander,198,normal,common,1,75416,4277ebca-1c8d-4066-969a-28adf6445b3e,1.07,false,false,near_mint,en,USD
Arcane Signet,BRC,The Brothers' War Commander,132,normal,common,1,75802,d5a30a51-3afb-45e9-aab6-40fec44ec55a,1.44,false,false,near_mint,en,USD
Solemn Simulacrum,BRC,The Brothers' War Commander,161,normal,rare,1,75697,aa1afaaa-70d5-434a-994d-cc341c8b8e29,0.74,false,false,near_mint,en,USD
Darksteel Citadel,BRC,The Brothers' War Commander,180,normal,uncommon,1,75832,df29d8e6-f195-46db-9307-41687b5f0f20,1.61,false,false,near_mint,en,USD
Etched Champion,BRC,The Brothers' War Commander,140,normal,rare,1,75863,e87347d9-fa02-42b9-8ae2-60374a70ece5,0.35,false,false,near_mint,en,USD
Scholar of New Horizons,BRC,The Brothers' War Commander,6,normal,rare,1,75862,e83e50d0-7851-4608-8cfd-63c54d1a7544,0.71,false,false,near_mint,en,USD
Spire of Industry,BRC,The Brothers' War Commander,203,normal,rare,1,75296,10b8e3a0-2a3e-401a-80a1-a3c8744f0c28,1.1,false,false,near_mint,en,USD
Bident of Thassa,BRC,The Brothers' War Commander,80,normal,rare,1,75328,1e2df1d6-af98-4d6a-bae9-f5df8f21b6cf,1.2,false,false,near_mint,en,USD
Swiftfoot Boots,BRC,The Brothers' War Commander,166,normal,uncommon,1,75457,53a91058-f98a-48dd-94da-354710a27019,0.96,false,false,near_mint,en,USD
Wreck Hunter,BRC,The Brothers' War Commander,11,normal,rare,1,75729,b9a21809-84cb-45f4-8314-80055983450d,0.15,false,false,near_mint,en,USD
Dimir Signet,BRC,The Brothers' War Commander,138,normal,common,1,75330,1f03430e-2c3d-4317-b4bd-06c2059b7e34,0.54,false,false,near_mint,en,USD
Noxious Gearhulk,BRC,The Brothers' War Commander,110,normal,mythic,1,75647,96886e7f-66b2-4f67-a5c6-c65500bcfdef,0.57,false,false,near_mint,en,USD
Liquimetal Torque,BRC,The Brothers' War Commander,145,normal,uncommon,1,75779,ca37bdbb-cd35-4d04-a28b-d5eb1f9c2dc3,0.91,false,false,near_mint,en,USD
Steel Overseer,BRC,The Brothers' War Commander,164,normal,rare,1,75407,3fb27f1e-21fb-4017-8ef2-37c3206003e3,0.94,false,false,near_mint,en,USD
Command Tower,BRC,The Brothers' War Commander,178,normal,common,1,75603,84b79453-bb88-4c23-8cdb-82ba57ea3bc5,0.56,false,false,near_mint,en,USD
Marionette Master,BRC,The Brothers' War Commander,109,normal,rare,1,75343,236c3425-17a2-404e-8630-8dbeb9c3981d,0.58,false,false,near_mint,en,USD
Austere Command,BRC,The Brothers' War Commander,69,normal,rare,1,75770,c800e39d-753b-4e0a-8a00-54dd20825103,0.9,false,false,near_mint,en,USD
Vault of Whispers,BRC,The Brothers' War Commander,211,normal,common,1,75891,f482fe5c-1ff5-46f8-befa-b84deaa29f45,0.94,false,false,near_mint,en,USD
